[04/30 23:08:45.249] | INFO     | watchdog   | main_reactor | Reactor Info: name rabbitmq_reactor empty True full False
[04/30 23:08:45.250] | INFO     | watchdog   | main_reactor | *** REACTORS INFO - START ***
[04/30 23:08:45.250] | INFO     | watchdog   | main_reactor | Reactor Info: name microcomm_reactor empty True full False
[04/30 23:08:45.250] | INFO     | watchdog   | main_reactor | *** REACTORS INFO - START ***
[04/30 23:08:45.251] | INFO     | watchdog   | main_reactor | Reactor Info: name credit_call_reactor empty True full False
[04/30 23:08:45.252] | CRITICAL | watchdog   | main_reactor | *** REACTORS INFO - END ***
[04/30 23:08:45.252] | CRITICAL | watchdog   | main_reactor | *** Top Output (cpu_load) - START ***
[04/30 23:08:45.253] | CRITICAL | watchdog   | main_reactor | 
top - 23:08:44 up 1 day,  4:59,  0 users,  load average: 6.63, 5.17, 5.05
Tasks: 190 total,   1 running, 123 sleeping,   0 stopped,   0 zombie
%Cpu(s): 57.5 us, 11.7 sy,  0.0 ni, 30.7 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  4029648 total,  2051284 free,  1075324 used,   903040 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  2502584 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
   28 root      rt   0       0      0      0 S   0.0  0.0   0:00.46 watchdog/3
   29 root      rt   0       0      0      0 S   0.0  0.0   0:00.95 migration/3
   30 root      20   0       0      0      0 S   0.0  0.0   0:02.14 ksoftirqd/3
   33 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   34 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 netns
   35 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_tasks_+
   36 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
   40 root      20   0       0      0      0 S   0.0  0.0   0:00.07 khungtaskd
   41 root      20   0       0      0      0 S   0.0  0.0   0:00.00 oom_reaper
   42 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 writeback
   43 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kcompactd0
   44 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   45 root      39  19       0      0      0 S   0.0  0.0   0:00.00 khugepaged
   46 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 crypto
   47 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kintegrityd
   48 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kblockd
   49 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ata_sff
   50 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 md
   51 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 edac-poller
   52 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 devfreq_wq
   53 root      rt   0       0      0      0 S   0.0  0.0   0:00.00 watchdogd
   58 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kswapd0
   59 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/u9+
   60 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ecryptfs-k+
  105 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kthrotld
  106 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 acpi_therm+
  107 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 nvme-wq
  108 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 nvme-reset+
  109 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 nvme-delet+
  110 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ipv6_addrc+
  120 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kstrp
  137 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 charger_ma+
  187 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/18-mmc0
  190 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/23-mmc1
  212 root      -2   0       0      0      0 S   0.0  0.0   0:02.99 i915/signa+
  213 root      -2   0       0      0      0 S   0.0  0.0   0:00.00 i915/signa+
  214 root      -2   0       0      0      0 S   0.0  0.0   0:00.00 i915/signa+
  298 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 raid5wq
  350 root      20   0       0      0      0 S   0.0  0.0   0:03.06 jbd2/mmcbl+
  351 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ext4-rsv-c+
  389 root      20   0       0      0      0 I   0.0  0.0   0:00.36 kworker/3:+
  401 root      20   0   21340   7420   6900 S   0.0  0.2   2:51.43 systemd-jo+
  426 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 iscsi_eh
  432 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ib-comp-wq
  433 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ib_mcast
  434 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ib_nl_sa_wq
  443 root      20   0   13284   1308   1156 S   0.0  0.0   0:00.00 lvmetad
  448 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rdma_cm
  453 root      20   0   14512   4056   3052 S   0.0  0.1   0:01.69 systemd-ud+
  499 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/94-mei+
  773 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ext4-rsv-c+
  784 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jbd2/mmcbl+
  786 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ext4-rsv-c+
  788 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jbd2/mmcbl+
  789 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ext4-rsv-c+
  801 root      20   0       0      0      0 S   0.0  0.0   0:00.01 jbd2/mmcbl+
  803 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ext4-rsv-c+
  858 root      20   0       0      0      0 I   0.0  0.0   0:01.03 kworker/1:+
 1127 root      20   0   13176   6256   5548 S   0.0  0.2   0:00.17 sshd
 1135 seco      20   0   13176   3276   2568 S   0.0  0.1   0:00.00 sshd
 1146 root      20   0   13176   6228   5528 S   0.0  0.2   0:00.16 sshd
 1153 seco      20   0   13176   3204   2504 S   0.0  0.1   0:00.00 sshd
 1158 root      20   0   13176   6196   5488 S   0.0  0.2   0:00.17 sshd
 1167 seco      20   0   13176   3280   2572 S   0.0  0.1   0:00.00 sshd
 1174 root      20   0   13176   6184   5476 S   0.0  0.2   0:00.17 sshd
 1183 seco      20   0   13176   3012   2304 S   0.0  0.1   0:00.00 sshd
 1211 root      20   0    2988    116     44 S   0.0  0.0   0:02.89 iscsid
 1212 root      10 -10    3448   2780   1924 S   0.0  0.1   0:15.07 iscsid
 1289 message+  20   0    6852   4676   3536 S   0.0  0.1   1:08.81 dbus-daemon
 1314 root      20   0    2248   1208   1148 S   0.0  0.0   0:00.00 acpid
 1320 root      20   0    2336    604    556 S   0.0  0.0   0:47.91 banner_apcc
 1324 root      20   0    5584   2672   2448 S   0.0  0.1   0:00.18 cron
 1325 root      20   0   59660   1700   1204 S   0.0  0.0   0:02.13 lxcfs
 1334 daemon    20   0    3484   2192   2028 S   0.0  0.1   0:00.00 atd
 1339 avahi     20   0    6580   3872   3120 S   0.0  0.1   7:14.11 avahi-daem+
 1347 root      20   0   10004   5696   5176 S   0.0  0.1   0:05.00 sshd
 1355 root      20   0   38704   5996   5488 S   0.0  0.1   0:14.49 accounts-d+
 1358 avahi     20   0    5920    276      0 S   0.0  0.0   0:00.00 avahi-daem+
 1360 root      20   0    2372   1540   1452 S   0.0  0.0   0:17.90 zxy_device+
 1364 syslog    20   0   31656   3112   2656 S   0.0  0.1   0:00.02 rsyslogd
 1366 root      20   0    4148   3088   2760 S   0.0  0.1   0:23.19 systemd-lo+
 1370 root      15  -5  884096  16288   9900 S   0.0  0.4   0:04.96 snapd
 1418 root      20   0    3136    124     16 S   0.0  0.0   0:00.01 mdadm
 1420 ntp       20   0   15632   4376   3912 S   0.0  0.1   0:08.23 ntpd
 1438 root      20   0    4440    204      0 S   0.0  0.0   0:08.95 irqbalance
 1441 root      20   0   36840   5656   5164 S   0.0  0.1   0:20.04 polkitd
 1449 root      20   0    4752   1712   1612 S   0.0  0.0   0:00.01 agetty
 1502 root      20   0       0      0      0 I   0.0  0.0   0:00.18 kworker/0:+
 1635 root      20   0    4296   2660   2440 S   0.0  0.1   0:00.00 nodm
 1639 root      20   0   67900  21576  15876 S   0.0  0.5  59:56.11 Xorg
 1654 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/u9+
 1658 root      20   0    5872   3088   2684 S   0.0  0.1   0:00.00 nodm
 1660 root      20   0    6096   4036   3400 S   0.0  0.1   0:00.09 systemd
 1669 root      20   0    7864   1652      0 S   0.0  0.0   0:00.00 (sd-pam)
 1676 root      20   0    2372    576    528 S   0.0  0.0   0:00.00 sh
 1686 root      20   0   20392  14556   7120 S   0.0  0.4   0:51.10 python
 1706 root      20   0    4608    196      0 S   0.0  0.0   0:00.47 ssh-agent
 1798 uuidd     20   0    6732   1356   1200 S   0.0  0.0   0:00.09 uuidd
 2338 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/3:+
 2579 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/1:+
 3090 seco      20   0    6372   4140   3588 S   0.0  0.1   0:00.08 systemd
 3102 seco      20   0    7864   1652      0 S   0.0  0.0   0:00.00 (sd-pam)
 3108 root      20   0       0      0      0 I   0.0  0.0   0:00.85 kworker/u8+
 3365 root      20   0       0      0      0 I   0.0  0.0   0:07.82 kworker/1:+
 3953 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/3:+
 5333 root       0 -20       0      0      0 I   0.0  0.0   0:00.20 kworker/0:+
 7500 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/u8+
 7607 root       0 -20       0      0      0 I   0.0  0.0   0:01.73 kworker/3:+
 7714 root      20   0       0      0      0 I   0.0  0.0   0:03.38 kworker/u8+
 7900 root      20   0       0      0      0 I   0.0  0.0   0:00.06 kworker/0:+
 7917 root      20   0       0      0      0 I   0.0  0.0   0:00.04 kworker/0:+
 7969 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/3:+
 7997 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/2:+
 8074 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/0:+
 8077 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/2:+
 8382 root      20   0   13176   6300   5592 S   0.0  0.2   0:00.17 sshd
 8394 seco      20   0   13176   3164   2456 S   0.0  0.1   0:00.00 sshd
 8401 root      20   0   13176   6072   5364 S   0.0  0.2   0:00.17 sshd
 8415 seco      20   0   13176   3212   2504 S   0.0  0.1   0:00.00 sshd
 8418 root      20   0   13176   6296   5588 S   0.0  0.2   0:00.17 sshd
 8426 seco      20   0   13176   2992   2284 S   0.0  0.1   0:00.00 sshd
 8433 root      20   0   13176   6160   5456 S   0.0  0.2   0:00.17 sshd
 8442 seco      20   0   13176   3008   2304 S   0.0  0.1   0:00.00 sshd
 8543 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/1:+
 8577 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/1:+
 9214 root      20   0   13176   6088   5384 S   0.0  0.2   0:00.17 sshd
 9223 seco      20   0   13176   3208   2504 S   0.0  0.1   0:00.00 sshd
 9234 root      20   0   13176   6196   5492 S   0.0  0.2   0:00.17 sshd
 9245 seco      20   0   13176   3068   2364 S   0.0  0.1   0:00.00 sshd
 9248 seco      20   0    5456   2736   2588 S   0.0  0.1   0:00.00 bash
 9249 seco      20   0  137496   4068   3856 S   0.0  0.1   0:00.00 journalctl
 9250 root      20   0   13176   6272   5568 S   0.0  0.2   0:00.17 sshd
 9260 seco      20   0   13176   3164   2460 S   0.0  0.1   0:00.00 sshd
 9269 root      20   0   13176   6104   5404 S   0.0  0.2   0:00.17 sshd
 9280 seco      20   0   13176   3272   2572 S   0.0  0.1   0:00.00 sshd
 9782 root      20   0    4280    560    516 S   0.0  0.0   0:00.00 sleep
 9806 root      20   0    2372    588    540 S   0.0  0.0   0:00.02 sh
16326 root      20   0       0      0      0 I   0.0  0.0   0:00.78 kworker/0:+
17622 root      20   0       0      0      0 I   0.0  0.0   0:00.62 kworker/3:+
19969 root       0 -20       0      0      0 I   0.0  0.0   0:01.19 kworker/1:+
21287 root      20   0   13176   6212   5512 S   0.0  0.2   0:00.16 sshd
21296 seco      20   0   13176   3016   2316 S   0.0  0.1   0:00.00 sshd
21303 root      20   0   13176   6232   5524 S   0.0  0.2   0:00.18 sshd
21313 seco      20   0   13176   3276   2568 S   0.0  0.1   0:00.00 sshd
21316 root      20   0   13176   6408   5700 S   0.0  0.2   0:00.17 sshd
21326 seco      20   0   13176   3140   2432 S   0.0  0.1   0:00.00 sshd
21333 root      20   0   13176   6252   5548 S   0.0  0.2   0:00.18 sshd
21346 seco      20   0   13176   3220   2516 S   0.0  0.1   0:00.00 sshd
24406 root      20   0       0      0      0 I   0.0  0.0   0:00.94 kworker/u8+
26152 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/2:+
26530 root      20   0   13176   6212   5504 S   0.0  0.2   0:00.17 sshd
26542 seco      20   0   13176   3056   2348 S   0.0  0.1   0:00.00 sshd
26802 root      20   0       0      0      0 I   0.0  0.0   0:00.88 kworker/1:+
27337 root      20   0   13176   6260   5556 S   0.0  0.2   0:00.17 sshd
27346 seco      20   0   13176   3124   2420 S   0.0  0.1   0:00.00 sshd
27353 root      20   0   13176   6176   5468 S   0.0  0.2   0:00.19 sshd
27362 seco      20   0   13176   3080   2372 S   0.0  0.1   0:00.00 sshd
27365 root      20   0   13176   6240   5536 S   0.0  0.2   0:00.17 sshd
27375 seco      20   0   13176   3108   2404 S   0.0  0.1   0:00.00 sshd
27382 root      20   0   13176   6324   5616 S   0.0  0.2   0:00.17 sshd
27392 seco      20   0   13176   3236   2528 S   0.0  0.1   0:00.00 sshd
28017 root       0 -20       0      0      0 I   0.0  0.0   0:01.06 kworker/2:+
31667 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/2:+
31936 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/2:+
31954 root      20   0       0      0      0 I   0.0  0.0   0:01.75 kworker/2:+
32363 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/0:+

[04/30 23:08:45.255] | CRITICAL | watchdog   | main_reactor | *** Top Output (cpu_load) - END ***
[04/30 23:08:45.259] | WARNING  | net_monitor | main_reactor | check_network_connectivity_async(): Skipping due to high CPU load (6.34 > 3.5)
[04/30 23:09:01.175] | INFO     | parking.session.SPOT_1 | main_reactor | get_maxtime_minutes_remaining(): #1 mt_mins 240 mins_purchased_so_far 0
[04/30 23:09:01.178] | INFO     | parking.session.SPOT_2 | main_reactor | get_maxtime_minutes_remaining(): #1 mt_mins 240 mins_purchased_so_far 0
[04/30 23:09:13.274] | INFO     | detection  | main_reactor | Watchdog puck: 1 SUM energy: 0 Z energy: 0 light 1000 photocell state 0
[04/30 23:09:13.286] | INFO     | detection  | main_reactor | Watchdog puck: 2 SUM energy: 0 Z energy: 0 light 1000 photocell state 0
[04/30 23:09:16.654] | WARNING  | parking.event_mon | main_reactor | _is_free_or_no_parking_now(): current_srb_type fixed next_srb_type fixed min_to_free 43550 rp_min_to_free 43550
[04/30 23:09:35.203] | INFO     | parking.session.SPOT_1 | main_reactor | get_maxtime_minutes_remaining(): #1 mt_mins 240 mins_purchased_so_far 0
[04/30 23:09:35.206] | INFO     | parking.session.SPOT_2 | main_reactor | get_maxtime_minutes_remaining(): #1 mt_mins 240 mins_purchased_so_far 0
